1.00,0.00,0.00,0.00
0.00,0.93,0.00,0.07
0.00,0.00,0.00,1.00
1.00,0.00,0.00,0.00
0.00,0.00,1.00,0.00
0.04,0.00,0.96,0.00
1.00,0.00,0.00,0.00
0.00,0.00,0.00,1.00
1.00,0.00,0.00,0.00
0.90,0.00,0.00,0.10
0.00,0.00,0.00,1.00
0.00,0.00,0.00,1.00
0.99,0.00,0.01,0.00
0.98,0.00,0.02,0.00
0.00,0.96,0.01,0.04
0.00,0.02,0.00,0.97
0.00,0.00,0.00,1.00
0.02,0.01,0.00,0.97
0.00,0.00,1.00,0.00
0.00,0.90,0.00,0.10
0.03,0.06,0.86,0.05
0.00,0.13,0.87,0.00
0.00,0.00,0.00,1.00
0.00,0.99,0.01,0.00
0.95,0.00,0.00,0.05
0.00,0.09,0.00,0.91
0.00,0.00,1.00,0.00
0.00,0.00,1.00,0.00
0.95,0.00,0.00,0.05
0.00,0.00,1.00,0.00
0.00,0.00,0.00,1.00
1.00,0.00,0.00,0.00
0.08,0.00,0.92,0.00
0.00,0.92,0.00,0.08
1.00,0.00,0.00,0.00
0.00,0.91,0.00,0.09
0.11,0.00,0.89,0.00
0.14,0.00,0.86,0.00
0.00,0.90,0.00,0.10
0.00,0.91,0.00,0.08
0.00,0.00,0.00,1.00
0.00,1.00,0.00,0.00
0.00,0.00,1.00,0.00
0.00,1.00,0.00,0.00
1.00,0.00,0.00,0.00
0.00,1.00,0.00,0.00
0.08,0.00,0.00,0.92
0.00,0.99,0.00,0.00
0.88,0.00,0.10,0.02
0.02,0.04,0.00,0.94
0.00,0.04,0.00,0.96
0.90,0.00,0.08,0.02
0.91,0.00,0.00,0.09
0.00,0.00,0.00,1.00
0.06,0.00,0.00,0.94
0.00,0.80,0.06,0.14
0.00,0.00,0.00,1.00
0.05,0.00,0.01,0.94
1.00,0.00,0.00,0.00
0.20,0.00,0.80,0.00
0.90,0.00,0.00,0.10
0.00,0.04,0.95,0.00
1.00,0.00,0.00,0.00
0.00,0.05,0.95,0.00
0.00,0.00,1.00,0.00
0.00,0.00,0.00,1.00
1.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00
0.00,0.00,0.00,1.00
0.00,0.00,1.00,0.00
0.00,0.00,0.00,1.00
0.00,0.00,1.00,0.00
0.00,0.00,1.00,0.00
0.00,0.00,0.00,1.00
0.00,1.00,0.00,0.00
0.32,0.13,0.33,0.22
0.42,0.23,0.15,0.20
0.15,0.22,0.28,0.35
0.29,0.15,0.32,0.25
0.38,0.24,0.12,0.26
0.17,0.21,0.30,0.32
0.25,0.12,0.33,0.30
0.39,0.23,0.12,0.26
0.11,0.26,0.24,0.39
0.28,0.14,0.31,0.27
0.38,0.21,0.15,0.26
0.15,0.23,0.29,0.32
0.20,0.17,0.34,0.29
0.41,0.22,0.12,0.26
0.13,0.29,0.24,0.35
0.27,0.15,0.34,0.24
0.43,0.20,0.20,0.17
0.18,0.19,0.29,0.35
0.27,0.14,0.38,0.21
0.46,0.17,0.12,0.25
0.18,0.34,0.21,0.27
0.12,0.00,0.88,0.00
0.00,0.00,0.00,1.00
0.00,0.01,0.99,0.00
0.00,0.00,0.00,1.00
0.00,0.00,1.00,0.00
0.00,0.00,0.00,1.00
0.16,0.00,0.00,0.84
0.99,0.00,0.01,0.00
1.00,0.00,0.00,0.00
0.06,0.10,0.78,0.06
0.00,0.00,0.00,1.00
0.93,0.00,0.00,0.07
0.06,0.07,0.76,0.11
0.00,0.00,0.00,1.00
0.00,0.48,0.02,0.50
0.97,0.01,0.01,0.00
0.01,0.27,0.00,0.72
0.01,0.27,0.00,0.72
0.03,0.00,0.97,0.00
0.01,0.21,0.00,0.78
0.90,0.00,0.00,0.10
0.00,0.04,0.96,0.00
1.00,0.00,0.00,0.00
0.00,1.00,0.00,0.00
0.00,0.00,1.00,0.00
0.00,0.97,0.00,0.03
0.00,0.03,0.00,0.97
0.85,0.00,0.04,0.12
0.97,0.00,0.03,0.00
0.00,0.03,0.00,0.97
0.98,0.00,0.02,0.00
0.00,0.06,0.00,0.94
1.00,0.00,0.00,0.00
0.00,0.12,0.00,0.88
0.93,0.00,0.07,0.00
1.00,0.00,0.00,0.00
0.00,0.28,0.72,0.00
0.00,0.00,1.00,0.00
0.00,0.00,0.00,1.00
0.01,0.00,0.99,0.00
0.00,0.93,0.07,0.00
0.00,0.87,0.07,0.06
0.06,0.00,0.00,0.94
0.00,1.00,0.00,0.00
0.00,1.00,0.00,0.00
0.06,0.00,0.00,0.94
0.04,0.01,0.01,0.94
0.99,0.00,0.01,0.00
0.00,0.00,1.00,0.00
0.06,0.08,0.71,0.15
0.00,0.00,0.00,1.00
0.76,0.00,0.02,0.22
0.00,1.00,0.00,0.00
0.20,0.00,0.80,0.00
0.00,0.00,1.00,0.00
0.00,1.00,0.00,0.00
0.00,0.00,0.00,1.00
0.00,0.90,0.10,0.00
0.00,0.00,1.00,0.00
0.00,0.00,1.00,0.00
0.00,0.00,0.00,1.00
0.97,0.00,0.03,0.00
0.00,0.00,1.00,0.00
0.00,0.00,1.00,0.00
1.00,0.00,0.00,0.00
0.00,0.19,0.00,0.81
1.00,0.00,0.00,0.00
